poniedzia³ek;Monday
poniedzia³ek;Monday
wtorek;Tuesday
œroda;Wednesday
czwartek;Thursday
pi¹tek;Friday
sobota;Saturday
niedziela;Sunday
up³yn¹æ;elapse
spodziewany;expected
równa siê;equals
równoœæ;equality
osadzone;embedded
nawet, jeszcze;even
ustaliæ;establish
zarówno;either
rozszerzaæ;extend
zapewniæ;ensure
niezdolny;unable
zazwyczaj;usually
brak;lack
warstwa;layer
uk³ad, plan;layout
pozwoliæ;let
pêtla;loop
przegl¹d;overview
ogólnie;overall
uzyskaæ;obtain
nieprzezroczystoœæ;opacity
zewnêtrzny;outer
pojawiæ siê;occur
wystêpowanie;occurrence
zabroniony;prohibited
pakiet;package
trwa³oœæ;persistence
zasada, regu³a;principle
pozwolenie;permission
w³aœciwoœæ;property
œcie¿ka;path
zwyk³y, prosty;plain
dostawca;provider
szczególnie;particularly
równolegle;parallel
wykonaæ;perform
akapit;paragraph
niejasny;ambiguous
podejœcie;approach
stosowany;applied
œredni;average
dopuszczaæ;allow
dozwolony;allowed
szyk, szereg;array
dostêp;access
wyrównaæ;align
ró¿ny;various
pytanie;query
kolejka;queue
iloœæ;quantity
porz¹dkowaæ;marshal
³¹czyæ, scalaæ;merge
zmierzyæ;measure
zwiêz³oœæ;brevity
tablica;board
wewn¹trz;within
czy;whether
zawijaæ treœæ;wrap content
ca³y;whole
zdobyæ;gain
otrzymywaæ;getting
dostaæ;get
zakres;scope
podobny;similar
wzgl¹d;sake
z³¹cze, wtyczka;socket
kilka;several
zestaw;set
komunikat;statement
dostawca;supplier
synchronizowaæ;sync
pasuje;suited
odpowiedni;suitable
etap;stage
próba, przyk³ad;sample
cecha;feature
wype³niæ;fill up
te, one;those
koñcowy;terminal
przez;through
myœl;thought
wskazówka;tip, hint
rzucaæ;throw
szablon;template
pewny;certain
przypadek, sprawa;case
komórka;cell
wygodny;convenient
zawieraæ;contain
liczyæ;count
nieœæ;carry
zatwierdzaæ;commit
sprawdziæ, kontrola;check out
porównaæ, równaæ;compare
cyfra;digit
nurkowaæ, zanurzaæ siê;dive
zale¿noœci;dependencies
podczas;during
przestarza³y;deprecated
pakiet zasobów;resource bundle
powracaæ;revert
odzyskaæ;retrieve
odrzucaæ;refuse
wymagany;required
odebrane;received
wydanie;release
wymienione;referenced
przepisaæ;rewrite
zdalne;remote
wznawianie;resume
w przybli¿eniu;roughly
w, do, na, we;into
niezmienny, sta³y;immutable
zamiast;instead
dziedziczenie;inheritance
liczba ca³kowita;integer
wewnêtrzny;internal
problem, kwestia;issue
powtórzyæ;iterate
wk³ad;input
zwiêkszaæ, wzrost;increase
wewnêtrzny;inner
ksi¹¿ka;book
rasa;breed
miejsce przy korytarzu;aisle seat
uczciwy;honest
przedzia³;compartment
oszust;fraud
rodzeñstwo;siblings
zwiedzanie;sightseeing
przera¿aæ;to terrify
pewny;certain, sure
m¹dry;wise
baga¿e;luggage
badaæ;to examine
w¹ski;narrow
w³amywacz;burglar
z³odziej;thief
okazja;bargain
krewny;relative
za granic¹;abroad
puco³owaty;chubby
zlew;sink
zamiataæ;to sweep
portmonetka;purse
rozs¹dny;sensible, reasonable
zastanawiaæ siê;to wonder
wagon;carriage
spódnica;skirt
terapia, leczenie;treatment
opiekowaæ siê;to look after
studiowaæ, uczyæ siê;to study
nó¿;knife
pó³noc;north
ogieñ;fire
park;park
adres;address
ptak;bird
polityka;politics
szynka;ham
jeleñ, sarna;deer
kurczak;chicken
medycyna;medicine
pierœcionek;ring
rêka, d³oñ;hand
dru¿yna;team
radio;radio
mas³o;butter
krowa;cow
widelec;fork
siedem;seven
wolny;free
ja;I
tysi¹c;thousand
szef;boss
diagnoza;diagnosis
mysz;mouse
ma³¿eñstwo;marriage
dane;data
stacja metra;underground station
g³owa;head
œwiadomy;aware
hydraulik;plumber
babcia;grandmother
atakowaæ;to attack
instalowaæ;to install
teatr;theatre
póŸno;late
ona;she
brat;brother
wiêc;so
poczta;post office
apteka;pharmacy
powoli;slowly
ciemny;dark
kot;cat
parlament;parliament
makaron;pasta
paj¹k;spider
klinika;clinic
marchewka;carrot
dziadek;grandfather
prawie nigdy;hardly ever
jedenaœcie;eleven
rano;morning
tygry;tiger
spaæ;to sleep
kurtka, marynarka;jacket
czuæ;to feel
most;bridge
umiêœniony;muscular
dobry;good
³apaæ;to catch
czeœæ;hello, hi
bankomat;cash machine
zwierzê;animal
Japonia;Japan
ciasto, tort;cake
o, na temat;about
ofiara;victim
czaszka;skull
recepcja;reception desk
talerz;plate
bilet;ticket
ch³opak(sympatia);boyfriend
g³êboki;deep
sukienka;dress
fizyka(przedmiot);science
zielony;green
dumny;proud
wygrywaæ;to win
bia³y;white
¿ó³ty;yellow
siatkówka;volleyball
czarny;black
warzywo;vegetable
czterdzieœci;forty
goliæ;to shave
dysk, p³yta;disc
opowiadanie, historia;story
trzydzieœci;thirty
wstawaæ;to get up
uczeñ, student;student
rezerwowaæ;to book
niski;short
wulkan;volcano
mg³a;fog
T-shirt;T-shirt
chory;sick, ill
fotel;armchair
centrum;center, centre
siedzieæ;to sit
gotowaæ;to cook
przestêpca;criminal
kucharz;cook
wyk³adowca, profesor;professor
paliæ;smoke
papierosy;cigarettes
terminal;terminal
gara¿;garage
wioska;village
podró¿owaæ;to travel
lotnisko;airport
ubieraæ siê;to get dressed
cichy;quiet
kobieta;woman
rozmowa o pracê;job interview
sanda³y;sandals
d³ugi;long
zakwaterowanie;accommodation
ziemniak;potato
uczyæ siê;to learn
hobby;hobby
francuski;French
koñ;horse
dwanaœcie;twelve
plecak;backpack, rucksack
g³oœny;laud
zamykaæ(na klucz);to lock
statek;ship
z³y, zdenerwowany;angry
Polska;Poland
kanapa;couch
cierpieæ;to suffer
sportowiec;sportsman, athlete
pracodawca;employer
krew;blood
telefon;phone
byæ;to be
rodzic;parent
plecy;back
uniwersytet;university
kontrakt, umowa;contract
architekt;architect
grecki;Greek
blizna;scar
kurs;course
mê¿czyzna;man
owoc;fruit
premier;prime minister
koszula;shirt
zatrzymaæ, zakoñczyæ;to stop
córka;daughter
szklanka;glass
sprzedawaæ;to sell
pasa¿er;passenger
walczyæ;to fight
anulowaæ, odwo³aæ;to cancel
rynek;market
roœlina;plant
dowcip, ¿art;joke
p³aciæ;to pay
ci¹æ;to cut
ranny;hurt
proszê (proœba);please
jeœæ na mieœcie;to eat out
ciep³y;warm
spo³eczeñstwo;society
bud¿et;budget
ogrodnik;gardener
stolica;capital
brunetka;brunette
ma³pa;monkey
piêtnaœcie;fifteen
wiœnia;cherry
cena;price
pralka;washing machine
autobus;bus
w³osy;hair
motocykl;motorcycle
usta;mouth
wargi;lips
aparat fotograficzny;camera
rzecz, przedmiot;thing
ból;pain
moneta;coin
elegancki;elegant
³y¿ka;spoon
Grecja;Greece
wdowiec;widower
ogórek;cucumber
angielski;English
prawo (zbiór przepisów);law
z³oty;golden
szybki;fast, quick
¿ycie towarzyskie;social life
rekomendacja;recommendation
tablica;board
niski (np. sufit);low
te¿;also
sweter;sweater
popularny;popular
aresztowaæ;to arrest
samolot;plane
staæ;to stand
rzadko;seldom
postój taksówek;taxi rank
kaszel;cough
szko³a œrednia;high school
zgrabny;shapely
krajowy;domestic
specjalizowaæ siê;to specialise
kulisty, okr¹g³y;round
genialny;brilliant
panna m³oda;bride
sufit;ceiling
ksiêgowy;accountant
jêzyk (czêœæ cia³a);tongue
granica;border
drób;poultry
wystawa;exhibition
chemia;chemistry
rêkawiczka;glove
zawód, praca;occupation
zameldowaæ siê;to check in
czas wolny;leisure, free time
hojny;generous
z¹b;tooth
uœwiadomiæ sobie;to realise
kierownik, mened¿er;manager
chodnik;pavement
pasek;belt
op³ata;fee
skórzany, skóra;leather
kraœæ;to steal
przyjemny;pleasant
stolarz;carpenter
pisaæ na klawiaturze;to type
opalony;tan
gips;plaster
danie, potrawa;dish
spotykaæ, poznawaæ;to meet
polityk;politician
biznesmen;businessman
k¹paæ;to bath
g³osowaæ;to vote
szczotkowaæ;to brush
mieszkanie;flat
miejsce przy oknie;window seat
niemiecki;German
milion;million
funt;pound
rodzaj;kind
przepraszam;excuse me
ale;but
kopaæ;to kick
poniewa¿, bo;because
gawêdziæ, gadaæ;to chat
o³ówek;pencil
wynik (np. meczu);score
dentysta;dentist
policzek;cheek
tutaj;here
popo³udnie;afternoon
tam;there
braæ;to take
d³ugopis;pen
kuchania;kitchen
drzwi;door
ulica;street
gracz;player
w lewo;left
fala;wave
dawaæ;to give
ty, wy, pan, pani, pañstwo;you
dotykaæ;to touch
do widzenia;goodbye
atrakcyjny, przystojny;good looking
szczur;rat
wilk;wolf
kawa;coffee
pozytywny;positive
tani;cheap
w³oski;Italian
raport;report
prognoza;forecast
pytanie;question
czternaœcie;fourteen
dwadzieœcia;twenty
jeden;one
kamieñ;stone
pok³ad;board
dziewiêæ;nine
metro;underground
mówiæ, powiedzieæ ;to say
biuro;office
posterunek policji;police station
ulubiony;favourite
œpiewaæ;to sing
para;couple
piwo;beer
jajko;egg
chleb;bread
przestêpstwo, zbrodnia;crime
w dó³;down
kraj;country
linia;line
szko³a;school
libera³, liberalny;liberal
cierpliwy;patient
piekarz;baker
aptekarz, farmaceuta;chemist
fryzjer;hairdresser
sprzedawca;shop assistant
p³ywaæ;to swim
banknot;banknote
numer;number
obywatel;citizen
weterynarz;vet
dziennikarz;journalist
blondynka;blonde
pies;dog
sa³atka;salad
aktywista;activist
prezydent;president
rezygnacja;resignation
dziewczyna (sympatia);girlfriend
piæ;to drink
gra;game
nienawidziæ;to hate
nudny;boring
zachód;west
zainteresowanie;interest
cielêcina;veal
dwa razy na;twice a 
list motywacyjny;cover letter
dziewczyna;girl
drukarka;printer
zabawa;fun
ksi¹¿ka;book
tata;dad
impreza, przyjêcie;party
szeœædziesi¹t;sixty
piêædziesi¹t;fifty
siedemdziesi¹t;seventy
dziewiêtnaœcie;nineteen
osiemnaœcie;eighteen
szesnaœcie;sixteen
dwa;two
piêæ;five
strach;fear
system operacyjny;operating system
przedmiot szkolny;subject
zatrudniaæ;to hire
dziewiêædziesi¹t;ninety
codziennie;every day
osiem;eight
æwiczyæ;to exercise
ojciec;father
orze³;eagle
powtarzaæ;to repeat
serce;heart
¿o³nierz;solider
samochód;car
matka;mother
œwieciæ;to shine
gruby (np. deska);thick
pistolet;gun
noc;night
dom;house
kostka;ankle
po¿yczaæ (od kogoœ);to borrow
pigu³ka;pill
odkurzaæ (odkurzaczem);to vacuum
helikopter;helicopter
aleja;alley
obiad;dinner
go³¹b;pigeon
rozwód;divorce
restauracja;restaurant
prawnik;lawyer
wracaæ;to return
bankier;banker
pi³ka;ball
lot;flight
kolor;colour
karta kredytowa;credit card
pan m³ody;groom
minuta;minute
podpisywaæ;to sign
s³oñ;elephant
narodowoœæ;nationality
uœmiechaæ siê;to smile
tamten, tamta, tamto;that
krzes³o;chair
strona;page
brzuch, brzuszek;belly, tummy
ma³y;little
narciarstwo;skiing
s¹dziæ, myœleæ;to think
stawka za godzinê;wage
but;shoe
matematyka;maths, math
egzamin;examination
myszka;mouse
sól;salt
pensja (miesiêczna, roczna);salary
wiosna;spring
sto;hundred
trenowaæ;to train (sports)
Hispasznia;Spain
herbata;tea
ruch;movement
szeœæ;six
zdaæ;to pass
na sprzeda¿;for sale
dzisiaj;today
budziæ;to wake (up)
³okieæ;elbow
peron;platform
jedzenie;food
malarz;painter
temu;ago
sklep;shop
nadgarstek;wrist
trzy;three
miasto (niewielkie);town
papier;paper
ramiê;arm
niewinny;innocent
rabuœ;robber
Francja;France
œwinia;pig
prosiê;piglet
jezioro;lake
las;forest
kino;cinema
w ci¹¿y;pregnant
jasny;bright
podbródek, broda;chin
walizka;suitcase
pobyt;stay
trzynaœcie;thirteen
powietrze;air
klimatyzacja;air-conditioning
zdjêcie;photo
trójk¹t;triangle
pomarañcza;orange
opieka;care
pracowaæ;to work
banan;banana
przejœcie dla pieszych;crosswalk
koœció³;church
pod;under
fioletowy;purple, violet
polski;Polish
prawid³owy;correct
przychodziæ, przyje¿d¿aæ;to come
kolacja;supper
robotnik;worker
ogród;garden
wybieraæ;to choose
królowa;queen
lataæ, lecieæ;to fly
zmywaæ;to wash up
uciekaæ;escape, to run away from
odpowiedzialny;responsible
odpowiedŸ;answer
pytaæ;to ask
wczoraj;yesterday
dziecko;child
lekarz;doctor
paszport;passport
policjant;police officer
wieprzowina;pork
kolano;knee
klêczeæ;to kneel
zero;zero
plan;plan
miêso;meat
budynek, blok;building
szko³a podstawowa;primary school
pi³ka no¿na;football, soccer
ciê¿ki;heavy
narzeczony;fiance
narzeczona;fiancee
hotel;hotel
mowa, przemowa;speech
doje¿d¿aæ do pracy;to commute
daleko;far
wiersz;poem
znowu;again
odcieñ;shade
cieñ;shadow
decydowaæ;to decide
wielb³¹d;camel
kierowaæ, prowadziæ;to drive
lis;fox
grzmot;thunder
zawsze;always
robiæ;to do
redaktor;editor
sok;juice
wiek;age
jab³ko;apple
szeœcian, kostka;cube
zadrapanie;scratch
potwierdziæ;to confirm
chmura;cloud
brudny;dirty
gor¹czka;fever
temperatura;temperature
trudny;difficult
oddech;breath
lew;lion
portfel;wallet
œmiaæ siê;to laugh
ucho;ear
kolczyk;earring
s³uchawki;earphones
szyja, kark;neck
modliæ siê;to pray
modlitwa;prayer
ruszaæ siê;to move
cztery;four
teraz;now
g³odny;hungry
pchaæ, naciskaæ;to push
opakowanie;package
zaczynaæ;to begin
móc, umieæ, potrafiæ;can
dziesiêæ;ten
dwadzieœcia jeden;twenty-one
w¹¿;snake
dieta;diet
morze;sea
powiedzieæ (komuœ);to tell
uœcisk d³oni;handshake
przez;across
awans;promotion
zanieczyszczenie;pollution
przygoda;adventure
który;which
blady;pale
projekt;project
nos;nose
pisaæ;to write
ekran;screen
firma;company, firm
woda;water
tereny wiejskie, wieœ;countryside
rz¹d;government
grypa;flu
zni¿ka;discount
przeterminowany;out of date, expired
ogon;tail
plac, skwer;square
œmieræ;death
martwy;dead
choroba;disease
kwadrat;square
we³na;wool
we³niany;woolen
edukacja;education
ubrania;clothes
robiæ (np. ciasto);to make
przy, blisko;near
pocztówka;postcard
on;he
pacjent;patient (person)
japoñski;Japanese
karmiæ;to feed
byk;bull
goœæ;guest
pensjonat;guesthouse
zwolniæ (kogoœ);to fire
oczywisty;obvious
postaæ, bohater;character
bohater;hero
naród;nation
narodowy;national
urlop zdrowotny, zwolnienie lekarstkie;sick leave
urlop macierzyñski;maternity leave
naprzód;forward
autor;author
uczyæ siê na pamiêæ;to learn by heart
szczery;sincere
wysoki (budynek);high
zaawansowany;advanced
œrednio zaawansowany;intermediate
Rosja;Russia
w¹sy;moustache
dywan;carpet, rug
szmata;rag
umieraæ, gin¹æ;to die
po³ykaæ, prze³ykaæ;to swallow
drogi;expensive
powieœæ;novel
opowiadanie;short story
krzak;bush
owijaæ w bawe³nê;to beat about the bush
pocz¹tkuj¹cy;beginner
nosiæ;to wear
garnitur;suit
broda (zarost);beard
ambasada;embassy
iœæ, jechaæ (dok¹dœ);to go
pieni¹dze;money
kochanie (o kimœ bliskim);darling, dear, honey, love, sweetheart
wierzyæ;to believe
mi³y;nice
zakupy;shopping
Stany Zjednoczone Ameryki;the United States of America
przyjaciel;friend
przyjaŸñ;friendship
na;on
pszczo³a;bee
gotówka;cash
p³aciæ gotówk¹;to pay in cash
niem¹dry;silly
w górê;up
p³ytki;shallow
amerykañski;American
internet;the internet
biologia;biology
biolog;biologist
twarz, mina;face
nigdy;never
socjalista;socialist
lewica;left wing
zima;winter
rozmiar;size
kierowca;driver
po;after
lekcja;lesson
zamra¿arka;freezer
optymista;optimist
pesymista;pessimist
brytyjski;British
terroryzm;terrorism
terrorysta;terrorist
³y¿eczka;teaspoon
wybory;election
Australia;Australia
stra¿ po¿arna (remiza);fire station
bank;bank
rosn¹æ;to grow
samolubny;selfish, egoistic
ciekawy, dziwny;curious
laptop;laptop
dzieñ dobry (rano);good morning
dzieñ dobry (po po³udniu);good afternoon
dobry wieczór;good evening
mówiæ;to speak
wyje¿d¿aæ;to leave
szpital;hospital
ostro¿ny;careful
ten, ta, to;this
dzieñ;day
kuzyn, kuzynka;cousin
spokrewniony;related
m¹ka;flour
piêkny;beautiful
przepiêkny;gorgeous
zabijaæ;to kill
morderstwo;murder
klucz;key
gramatyka;grammar
m¹¿;husband
wiadomoœæ e-mail;email
pó³noc (godzina);midnight
pieprz;pepper
czytaæ;to read
deszcz;rain
w³¹czaæ;to turn on
wy³¹czaæ;to turn off
zazwyczaj;usually
nauczyciel;teacher
leniwy;lazy
relaksowaæ siê, odprê¿aæ siê;to relax
ból g³owy;headache
ból;ache
widzieæ;to see
historia;history
historyk;historian
lustro;mirror
grafik komputerowy;graphic designer
zwi¹zek;relationship
natura, przyroda;nature
naturalny;natural
myæ;to wash
pozmywaæ;to wash up
miêkki;soft
twardy;hard
finanse;finance
irlandzki;Irish
szczêœliwy;happy
nieszczêœliwy;unhappy, miserable
ból brzucha;stomach ache
torebka;handbag
brzydki;ugly
najwy¿szej jakoœci;top class
kolczyk;earring
rodziæ siê;to be born
nad;over
odpoczywaæ;to rest
po¿yczaæ (komuœ);to lend
mecz;match
policja;police
piosenka;song
pisarz;writer
dyrektor szko³y;headteacher, principal
aby, ¿eby;to
pó³ka;shelf
gruby, t³usty;fat
oty³y;obese
palec;finger
klawiatura;keyboard
wiek, stulecie;century
jesieñ;autumn, fall
siedemnaœcie;seventeen
zamykaæ;to close
zamkniêty;closed
spokojny;calm
bliŸniak;twin
brat bliŸniak;twin brother
tydzieñ;week
przystojny;handsome
Niemcy;Germany
kciuk;thumb
zwierzê domowe, pupil;pet
czasami;sometimes
jedna trzecia;third
guzik;button
zapi¹æ (na guziki);to button up
wyspa;island
film;film, movie
antybiotyk;antibiotic
skaner;scanner
skanowaæ;to scan
skrzy¿owanie;crossroads
kanadyjski;Canadian
profesja, zawód wyuczony;profession
zarabiaæ;to earn
smutny;sad
p³akaæ;to cry
ratusz;town hall, city hall
powy¿ej;above
kochaæ;to love
uwielbiaæ;to adore
jechaæ (czymœ);to ride
port;port
koza;goat
sprz¹taæ;to clean
oczyœciæ;to clear
miasto (du¿e);city
wszyscy;everybody, everyone
nikt;nobody, no one
ktoœ;somebody, someone
niebezpieczny;dangerous
niebezpieczeñstwo;danger
patrzeæ;to look
bezpieczny;safe, secure
poziom;level
stacja kolejowa;railway station
trzymaæ, dotrzymywaæ;to keep
niedŸwiedŸ;bear
pluszowy miœ;teddy bear
koncert;concert
oprogramowanie;software
¿eglarstwo;sailing
przemys³, bran¿a;industry
s³yszeæ;to hear
chirurg;surgeon
twardy dysk;hard disc
pusty;empty
pe³ny;full
gwarancja;guarantee, warranty
klient, kupuj¹cy;customer
rosyjski;Russian
sprz¹tacz(-ka);cleaner
zastrzyk;injection
szczepionka;vaccination
przystanek autobusowy;bus stop
mieæ;to have
lampa;lamp
s³ownictwo;vocabulary
poni¿ej;below
kierunek;direction
oparzenie;burn
syn;son
ziêæ;son-in-law
¿o³¹dek, brzuch;stomach
zabawny, dowcipny;funny
uczyæ, nauczaæ;to teach
s³uchaæ;to listen
strona internetowa;website
hiszpañski;Spanish
owca;sheep
pod³oga, piêtro;floor
³azienka;bathroom, mom
pokazywaæ;to show
lodówka;fridge, refrigerator
sekunda;second
informatyk;IT specialist
czapka;cap
miêdzynarodowy;international
godzin;hour
wiatr;wind
wietrzny;windy
s³oñce;the sun
ksiê¿yc;the moon
gor¹co;hot
wysoki (cz³owiek);tall
stó³;table
przepraszam;sorry
poci¹g;train
kwiat;flower
do;to
komputer;computer
mróz;frost
mroŸny, oszroniony;frosty
rok;year
pomarañczowy;orange
sypialnia;bedroom
i, oraz;and
lato;summer
okno;window
lubiæ;to like
œniadanie;breakfast
kolej;railway, railroad
pla¿a;beach
skarpeta;sock
doœwiadczenie;experience
wyœcig;race
autokar;coach (bus)
poczucie humoru;sense of humour
piekarnik;oven
monitor;monitor
dziêkujê;thank you
dziêki;thanks
pora roku;season
wieczór;evening
faks;fax
pomidor;tomato
kapelusz;hat
otwieraæ;to open
pokój (polityczny);peace
spokojny, pokojowy;peaceful
zdrowie;health
zdrowy;healthy
pracownik;employee
Zjednoczone Królestwo;the United Kingdom
australijski;Australian
turysta;tourist
œlub, wesele;wedding
cia³o;body
musieæ;must
powinieneœ, powinnam;should
rower;bicycle
wczeœnie;early
ranny ptaszek;early bird
muzeum;museum
wra¿liwy;sensitive
dobrze zbudowany;well-built
telefon komórkowy;cell phone, mobile phone
telewizja;television
oni, one;they
praca;job
spodnie;trousers, pants
³adny;pretty
oblaæ;to fail
zdaæ;to pass
¿yæ, mieszkaæ;to live
okulary;glasses
okulary przeciws³oneczne;sunglasses
miód;honey
grupa;group
dyskoteka;disco
W³ochy;Italy
sprytny, bystry;smart, clever
wojna;war
zapraszaæ;to invite
zaproszenie;invitation
pokój;room
kiedy;when
œnieg;snow
pada œnieg;It's snowing
chroniæ, broniæ;to protect
ochrona, zabezpieczenie;protection
banda¿;bandage
przegrywaæ;to lose
inny;different
biznes, interes;business
objaw;symptom
muzyk;musician
wzd³u¿;along
spacer, spacerowaæ;to walk
graæ, bawiæ siê;to play
góra;mountain
jêzyk (mowa);language
burza, sztorm;storm
pomocny;helpful
odwiedzaæ;to visit
oczywiœcie;of course
tañczyæ;to dance
sygnalizacja œwietlna;traffic lights
ogl¹daæ;to watch
sklep spo¿ywczy;grocery
wchód;east
wschodni;eastern
niegrzeczny;rude, impolite
niebieski;blue
skóra;skin
czerwony;red
strzelaæ;to shoot
koszykówka;basketball
oko;eye
rzêsy;eyelashes
goœæ, zwiedzaj¹cy;visitor
mama;mum
jutro;tomorrow
pojutrze;the day after tomorrow
stra¿ak;firefighter, fireman
gwiazda;star
rozgwiazda;starfish
jeœæ;to eat
trener;coach (sports)
kaczka;duck
prawo (do czegoœ);right
skakaæ;to jump
wiêzienie;prison, jail
konto;account
wiadomoœæ;message
dzwoniæ;to call
braæ prysznic;to shower, take a shower
¿ona;wife
posi³ek;meal
rocznica;anniversary
skrzyd³o;wing
sport;sport
katastrofa;disaster
Wielka Brytania;Great Britain
aktor;actor
aktorka;actress
po³owa, pó³;half
srebrny;silver
artysta;artist
w;in
kupowaæ;to buy
osiemdziesi¹t;eighty
rozmawiaæ;to talk
œcieraæ kurze, kurz;to dust
usuwaæ;to delete
tramwaj;tram
Irlandia;Ireland
biegaæ;to run
nastrój;mood
humorzasty;moody
³atwy;easy
³atwo;easily
wdowa;widow
Anglia;England
drzewo;tree
wino;wine
ró¿owy;pink
czas;time
sztuka;art.
droga;road
pub;pub
taksówka;taxi
jak;how
zapisaæ;to save
muzyka;music
muzykalny;musical
mleko;milk
rzeka;river
ry¿;rice
stopa;foot
siostra;sister
szwagierka;sister-in-law
ch³opak;boy
temperatura;temperature
czêsto;often
Kanada;Canada
br¹zowy;brown
rodzina;family
noga;leg
piec;to bake
król;king
gdzie, sk¹d;where
gdzieœ;somewhere
nigdzie;nowhere
ono, to;it
zimny;cold
wo³owina;beef
wycieraæ;to wipe
p³aszcz;coat
krawat;tie
warzywniak;greengrocer
gospodarz;host
¿yciorys (zawodowy);resume
przedstawiaæ;to introduce
ból gard³a;sore throat
ocena;mark, grade
miesi¹c;month
prawie;almost
po³udnie (pora dnia);noon, midday
g³oœnik;speaker
celnik;customs officer
na zdrowie (toast);cheers
na zdrowie (po kichniêciu); bless you
le¿eæ;to lie
przez (np. tunel);through
sos;sauce
rozbijaæ, z³amaæ, zepsuæ;to break
naprawiæ;to fix
rzucaæ;to throw
bluzka;blouse, top
miska;bowl
podwy¿ka;pay rise, raise
wchodziæ;to enter
chudy;thin, slim, skinny, slender
sêdzia;judge
fryzura;haircut
skrêcaæ;to turn
kszta³t;shape
piekarnia;bakery
opalaæ siê;to sunbathe, to tan
pielêgniarka;nurse
kieszonkowiec;pickpocket
rondo;roundabout, traffic circle
zajêcia;class
brzoskwinia;peach
æwieræ, kwadrans;quarter
ha³aœliwy;noisy
proszê (podaj¹c coœ);here you are
wodospad;waterfall
byæ w stanie;to be able
metr;metre, meter
wanna;bathtub
zdanie;sentence
œwiat;world
po³udnie;south
po³udniowy;southern
k³aœæ, umieszczaæ;to put
przybyæ, przyjechaæ;arrive
spragniony;thirsty
pogoda;weather
bransoletka;bracelet
naszyjnik;necklace
ksiêgarnia;bookshop, bookstore
obok;next to